Date:  17:39, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
192  ,1.788e+05   ,403.25  ,911.39  ,1281.9
193  ,3.554e+04   ,384.82  ,927.93  ,1281.9
194  ,1.213e+05   ,394.47  ,920.85  ,1281.9
195  ,1.405e+05   ,391.41  ,916.68  ,1281.9
196  ,2.387e+04   ,381.76  ,923.76  ,1281.9
197  ,3.569e+04   ,385.84  ,910.8  ,1281.9
198  ,1.540e+05   ,391.65  ,913.25  ,1281.9
199  ,5.950e+05   ,448.05  ,896.9  ,1281.9
200  ,4.965e+04   ,455.31  ,896.9  ,1281.9
201  ,4.408e+04   ,457.31  ,898.9  ,1281.9
202  ,8.214e+06   ,457.31  ,926.43  ,1281.9
203  ,1.748e+07   ,457.71  ,927.93  ,1281.9
204  ,2.397e+06   ,452.43  ,927.93  ,1281.9
205  ,3.588e+06   ,452.43  ,911.39  ,1281.9
206  ,3.275e+06   ,447.25  ,911.39  ,1281.9
207  ,1.159e+06   ,447.25  ,927.93  ,1281.9
208  ,2.177e+05   ,430.43  ,927.93  ,1281.9
209  ,7.534e+05   ,430.43  ,911.39  ,1281.9
210  ,3.958e+05   ,425.25  ,911.39  ,1281.9
211  ,1.271e+05   ,425.25  ,927.93  ,1281.9
212  ,1.119e+05   ,408.43  ,927.93  ,1281.9
213  ,3.365e+05   ,408.43  ,911.39  ,1281.9
214  ,6.543e+04   ,383.94  ,929.43  ,1289.5
215  ,3.914e+04   ,384.12  ,929.43  ,1283.4
216  ,1.075e+05   ,403.26  ,929.43  ,1283.4
217  ,1.423e+05   ,403.41  ,929.43  ,1291.5
218  ,1.132e+05   ,408.28  ,929.43  ,1291.5
219  ,1.091e+05   ,408.42  ,929.43  ,1283.4
220  ,6.044e+04   ,425.26  ,929.43  ,1283.4
