Date:  17:47, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
135  ,4.404e+04   ,410.11  ,828.86  ,1305.2
136  ,1.730e+06   ,402.48  ,853.06  ,1305.2
137  ,1.204e+06   ,396.61  ,871.66  ,1305.2
138  ,1.898e+06   ,390.6  ,890.73  ,1305.2
139  ,6.486e+06   ,384.73  ,909.33  ,1305.2
140  ,5.219e+06   ,379.01  ,927.48  ,1305.2
141  ,4.033e+06   ,380.44  ,929.43  ,1305.2
142  ,2.778e+05   ,571.82  ,929.43  ,1305.2
143  ,3.805e+04   ,600.82  ,926.57  ,1276.8
144  ,3.025e+04   ,601.82  ,926.57  ,1276.8
145  ,2.713e+04   ,601.82  ,926.57  ,1288.7
146  ,1.454e+04   ,600.82  ,926.57  ,1288.7
147  ,3.569e+04   ,601.82  ,929.25  ,1277.5
148  ,3.608e+04   ,600.82  ,929.25  ,1277.5
149  ,6.392e+03   ,601.82  ,922.57  ,1286.9
150  ,4.392e+03   ,600.82  ,922.57  ,1286.9
151  ,9.590e+05   ,381.66  ,925.08  ,1283.4
152  ,1.150e+06   ,382.35  ,924.56  ,1282.9
153  ,1.223e+06   ,390.24  ,918.78  ,1282.9
154  ,1.464e+06   ,381.62  ,925.22  ,1288.3
155  ,6.668e+05   ,384.23  ,927.13  ,1282.9
156  ,7.248e+05   ,383.53  ,927.63  ,1283.4
157  ,4.096e+06   ,383.38  ,927.63  ,1288.3
158  ,5.371e+05   ,392.12  ,921.34  ,1282.9
159  ,8.105e+05   ,404.26  ,928.43  ,1283.4
160  ,6.309e+05   ,404.25  ,927.93  ,1282.9
161  ,1.014e+06   ,404.25  ,913.58  ,1282.9
162  ,3.880e+06   ,404.39  ,928.43  ,1290.4
163  ,2.194e+06   ,380.08  ,928.7  ,1290
164  ,2.399e+06   ,379.6  ,928.05  ,1290
165  ,5.935e+06   ,380.48  ,925.26  ,1288.8
166  ,3.351e+06   ,391.31  ,917.31  ,1282
167  ,2.996e+06   ,393.84  ,920.76  ,1282
168  ,2.895e+06   ,383  ,928.7  ,1288.8
169  ,2.835e+05   ,451.43  ,927.93  ,1282.9
170  ,2.582e+05   ,451.42  ,928.43  ,1283.4
171  ,9.683e+04   ,451.3  ,928.43  ,1290.4
172  ,1.364e+06   ,451.43  ,913.58  ,1282.9
173  ,4.810e+05   ,429.43  ,927.93  ,1282.9
174  ,6.091e+05   ,429.42  ,928.43  ,1283.4
175  ,1.192e+05   ,429.3  ,928.43  ,1290.4
176  ,1.617e+06   ,429.43  ,913.58  ,1282.9
177  ,1.516e+05   ,448.26  ,928.43  ,1283.4
178  ,1.298e+05   ,448.25  ,927.93  ,1282.9
179  ,1.501e+06   ,448.25  ,913.58  ,1282.9
180  ,6.603e+04   ,448.39  ,928.43  ,1290.4
181  ,8.665e+05   ,407.43  ,927.93  ,1282.9
182  ,1.005e+06   ,407.42  ,928.43  ,1283.4
183  ,3.423e+05   ,407.3  ,928.43  ,1290.4
184  ,1.496e+06   ,407.43  ,913.58  ,1282.9
185  ,6.788e+05   ,426.26  ,928.43  ,1283.4
186  ,5.435e+05   ,426.25  ,927.93  ,1282.9
187  ,6.618e+05   ,426.25  ,913.58  ,1282.9
188  ,1.809e+06   ,426.39  ,928.43  ,1290.4
189  ,3.997e+06   ,443.84  ,903.82  ,1281.9
190  ,2.026e+06   ,448.35  ,909.63  ,1281.9
191  ,1.278e+06   ,403.25  ,927.93  ,1281.9
192  ,2.432e+06   ,403.25  ,911.39  ,1281.9
193  ,1.094e+06   ,384.82  ,927.93  ,1281.9
194  ,2.520e+06   ,394.47  ,920.85  ,1281.9
195  ,5.406e+06   ,391.41  ,916.68  ,1281.9
196  ,1.149e+06   ,381.76  ,923.76  ,1281.9
197  ,3.986e+07   ,385.84  ,910.8  ,1281.9
198  ,9.487e+06   ,391.65  ,913.25  ,1281.9
199  ,6.166e+05   ,448.05  ,896.9  ,1281.9
200  ,1.479e+04   ,455.31  ,896.9  ,1281.9
201  ,1.145e+04   ,457.31  ,898.9  ,1281.9
202  ,4.130e+05   ,457.31  ,926.43  ,1281.9
