Date:  19:56, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact (Left)(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
204  ,1.037e+05   ,452.43  ,927.93  ,1281.9
205  ,4.441e+05   ,452.43  ,911.39  ,1281.9
206  ,2.895e+05   ,447.25  ,911.39  ,1281.9
207  ,3.770e+04   ,447.25  ,927.93  ,1281.9
208  ,4.409e+04   ,430.43  ,927.93  ,1281.9
209  ,8.332e+04   ,430.43  ,911.39  ,1281.9
210  ,5.376e+04   ,425.25  ,911.39  ,1281.9
211  ,2.245e+04   ,425.25  ,927.93  ,1281.9
212  ,7.613e+03   ,408.43  ,927.93  ,1281.9
213  ,2.571e+04   ,408.43  ,911.39  ,1281.9
214  ,1.003e+03   ,383.94  ,929.43  ,1289.5
215  ,5.020e+02   ,384.12  ,929.43  ,1283.4
216  ,5.210e+03   ,403.26  ,929.43  ,1283.4
217  ,1.035e+04   ,403.41  ,929.43  ,1291.5
218  ,2.408e+04   ,408.28  ,929.43  ,1291.5
219  ,9.672e+03   ,408.42  ,929.43  ,1283.4
220  ,2.995e+04   ,425.26  ,929.43  ,1283.4
221  ,5.050e+04   ,425.41  ,929.43  ,1291.5
222  ,1.044e+05   ,430.28  ,929.43  ,1291.5
223  ,5.559e+04   ,430.42  ,929.43  ,1283.4
224  ,8.436e+04   ,447.26  ,929.43  ,1283.4
225  ,1.200e+05   ,447.41  ,929.43  ,1291.5
226  ,6.564e+04   ,452.28  ,929.43  ,1291.5
227  ,4.597e+04   ,452.42  ,929.43  ,1283.4
228  ,5.483e+04   ,460.31  ,929.43  ,1283.4
229  ,5.526e+02   ,380.44  ,929.43  ,1290.9
230  ,4.548e+04   ,591.32  ,927.79  ,1303.8
231  ,1.863e+04   ,591.32  ,927.57  ,1303.8
232  ,1.245e+05   ,589.82  ,929.34  ,1305
233  ,1.566e+04   ,589.82  ,927.57  ,1303.8
234  ,2.053e+04   ,589.82  ,927.79  ,1303.8
235  ,1.944e+05   ,574.32  ,926.93  ,1283.7
236  ,6.492e+04   ,574.32  ,921.8  ,1283.7
237  ,1.321e+05   ,574.24  ,927.54  ,1283.7
238  ,6.880e+04   ,575.82  ,927.79  ,1283.7
239  ,7.600e+04   ,583.32  ,928.76  ,1304.3
240  ,1.003e+05   ,583.32  ,928.76  ,1302.2
241  ,5.171e+04   ,575.82  ,927.79  ,1302.2
242  ,1.231e+05   ,575.82  ,925.07  ,1283.7
243  ,2.601e+04   ,575.82  ,925.07  ,1302.2
244  ,9.775e+04   ,583.32  ,925.07  ,1302.2
245  ,2.002e+04   ,583.32  ,925.07  ,1298.1
246  ,5.077e+04   ,583.32  ,924.07  ,1298.1
247  ,6.806e+04   ,575.82  ,924.07  ,1283.7
248  ,2.892e+04   ,575.82  ,924.07  ,1302.2
249  ,5.490e+04   ,583.32  ,924.07  ,1302.2
250  ,1.515e+00   ,393.45  ,881.67  ,1302.3
251  ,9.520e-01   ,393.76  ,880.72  ,1302.3
252  ,6.505e+00   ,393.45  ,881.67  ,1277.9
253  ,4.118e+00   ,393.76  ,880.72  ,1277.9
254  ,2.933e+02   ,379.01  ,927.48  ,1290.9
255  ,2.573e+02   ,380.06  ,924.14  ,1289.5
256  ,2.446e+02   ,384.73  ,909.33  ,1283.7
257  ,1.304e+02   ,385.49  ,906.95  ,1283.7
258  ,1.488e+02   ,385.49  ,906.95  ,1283.4
259  ,2.176e+02   ,380.12  ,923.97  ,1283.4
260  ,8.797e-01   ,398.18  ,872.15  ,1303.8
261  ,9.565e-01   ,398.39  ,872.22  ,1303.8
262  ,2.821e+00   ,397.15  ,870.26  ,1305
263  ,9.270e-01   ,398.84  ,870.79  ,1303.8
264  ,9.750e-01   ,398.63  ,870.72  ,1303.8
265  ,4.683e+00   ,404.11  ,856.2  ,1303.7
266  ,5.318e+00   ,409  ,857.74  ,1303.7
267  ,6.169e+00   ,404.11  ,856.2  ,1283.7
268  ,1.486e+01   ,409  ,857.74  ,1283.7
269  ,7.233e+00   ,403.55  ,855.94  ,1283.7
270  ,3.340e+00   ,402.84  ,857.37  ,1283.7
271  ,3.398e+00   ,399.65  ,864.23  ,1304.3
272  ,6.393e+00   ,399.65  ,864.23  ,1302.2
273  ,2.714e+00   ,402.84  ,857.37  ,1302.2
274  ,1.731e+00   ,391.72  ,892.66  ,1303.8
275  ,4.919e+00   ,390.24  ,892.19  ,1305
276  ,2.055e+00   ,391.93  ,892.72  ,1303.8
277  ,1.289e+00   ,392.38  ,891.29  ,1303.8
278  ,1.091e+00   ,392.17  ,891.23  ,1303.8
279  ,4.653e+02   ,387.28  ,907.51  ,1283.7
280  ,2.541e+02   ,387.51  ,906.01  ,1283.7
281  ,1.930e+01   ,387.51  ,906.01  ,1302.2
282  ,1.029e+01   ,388.83  ,898.56  ,1302.2
283  ,1.886e+01   ,388.83  ,898.56  ,1304.3
284  ,1.159e+02   ,387.87  ,907.7  ,1283.7
285  ,6.816e+01   ,387.87  ,907.7  ,1303.7
286  ,6.285e+00   ,391.56  ,908.86  ,1303.7
287  ,1.828e+01   ,391.56  ,908.86  ,1283.7
288  ,4.845e+01   ,405.43  ,858.19  ,1283.7
289  ,8.732e-01   ,405.43  ,858.19  ,1302.2
290  ,5.932e+00   ,403.18  ,865.34  ,1302.2
291  ,1.744e+00   ,403.18  ,865.34  ,1298.1
292  ,1.115e+01   ,404.13  ,865.64  ,1298.1
293  ,8.799e+01   ,406.39  ,858.49  ,1283.7
294  ,1.861e+00   ,406.39  ,858.49  ,1302.2
295  ,9.816e+00   ,404.13  ,865.64  ,1302.2
296  ,1.313e+01   ,391.05  ,907.13  ,1302.2
297  ,5.472e+01   ,391.05  ,907.13  ,1283.7
298  ,1.357e+01   ,393.31  ,899.97  ,1302.2
299  ,1.648e+01   ,393.31  ,899.97  ,1298.1
300  ,2.256e+01   ,390.1  ,906.83  ,1302.2
301  ,1.111e+02   ,390.1  ,906.83  ,1283.7
302  ,8.076e+00   ,392.35  ,899.67  ,1298.1
303  ,1.583e+01   ,392.35  ,899.67  ,1302.2
304  ,1.062e+01   ,393.44  ,907.88  ,1302.2
305  ,2.257e+01   ,393.44  ,907.88  ,1283.7
306  ,5.750e+00   ,395.69  ,900.73  ,1302.2
307  ,8.688e+00   ,406.52  ,866.39  ,1302.2
308  ,7.739e+00   ,408.77  ,859.24  ,1302.2
309  ,1.608e+01   ,408.77  ,859.24  ,1283.7
310  ,4.276e+01   ,406.52  ,866.39  ,1303.7
311  ,8.275e+00   ,395.69  ,900.73  ,1303.7
312  ,1.936e+01   ,393.25  ,908.48  ,1283.7
313  ,2.303e+01   ,393.25  ,908.48  ,1283.2
314  ,7.068e+00   ,397.65  ,894.51  ,1275.7
315  ,4.790e+00   ,400.95  ,884.04  ,1275.7
316  ,1.807e+01   ,400.95  ,884.04  ,1300.8
317  ,2.800e+01   ,401.26  ,883.08  ,1300.8
318  ,4.157e+00   ,401.26  ,883.08  ,1275.7
